"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENST00000638463"	-4.43511636294264	-3.21755818147132	-6.60662182173759	3.93842243688278e-11	2.36132055625744e-06	0.857965810955947
"ENST00000313486"	-4.16299002491573	-3.08149501245787	-5.89885202562205	3.66430096605919e-09	0.000109848414360522	-0.277905404324002
"ENST00000274629"	-4.01083454472944	-3.00541727236472	-5.5289082699992	3.2249718691572e-08	0.000644521377957296	-0.820447873696089
"ENST00000381801"	-3.91469934963197	-2.95734967481598	-5.30423653324721	1.13225476708521e-07	0.00169713667038403	-1.13279672069624
"ENST00000443713"	-3.7895618096562	-2.8947809048281	-5.02191737547933	5.11874528511696e-07	0.00476376573960371	-1.50692097130246
"ENST00000419142"	-3.78834090090199	-2.894170450451	-5.0192181030659	5.19118325701145e-07	0.00476376573960371	-1.51039926667818
"ENST00000383118"	-3.77911678904327	-2.88955839452163	-4.998858761402	5.77030307072364e-07	0.00476376573960371	-1.53657416519407
"ENST00000614403"	-3.77062575961899	-2.8853128798095	-4.98017042436959	6.35634897538689e-07	0.00476376573960371	-1.56050709499323
"ENST00000264027"	-3.72376582922224	-2.86188291461112	-4.87794103974467	1.0725376912066e-06	0.00707764315519866	-1.68983921223129
"ENST00000242351"	-3.71500005307802	-2.85750002653901	-4.85898704188496	1.18047287263971e-06	0.00707764315519866	-1.71352346600727
"ENST00000306503"	-3.55038088494951	-2.77519044247475	-4.5127233501452	6.40247540356553e-06	0.0348969832087432	-2.12997333595809
"ENST00000309428"	-3.52146035464579	-2.76073017732289	-4.45375056709351	8.44135607587609e-06	0.0396922060523991	-2.19783276940309
"ENST00000403372"	-3.51941281510641	-2.7597064075532	-4.4495959861886	8.60628925680814e-06	0.0396922060523991	-2.20257974954822
