translist	protlist	corlist
ENST00000454682	E9PAV3	NA
ENST00000329399	O00151	NA
ENST00000525628	O00217	NA
ENST00000580904	O00231	NA
ENST00000357146	O00232	NA
ENST00000622613	O00299	NA
ENST00000414834	O00429	NA
ENST00000611968	O00571	NA
ENST00000369266	O14639	NA
ENST00000370858	O14818	NA
ENST00000261207	O14974	NA
ENST00000547365	O15145	NA
ENST00000497053	O15230	NA
ENST00000641811	O43175	NA
ENST00000615907	O43399	NA
ENST00000512088	O43678	NA
ENST00000635719	O43707	NA
ENST00000613370	O43837	NA
ENST00000493278	O43852	NA
ENST00000587462	O60664	NA
ENST00000531007	O60716	NA
ENST00000264904	O60763	NA
ENST00000382452	O75083	NA
ENST00000542786	O75112	NA
ENST00000517391	O75131	NA
ENST00000437587	O75323	NA
ENST00000551430	O75390	NA
ENST00000646736	O75489	NA
ENST00000495548	O75521	NA
ENST00000618741	O75608	NA
ENST00000422440	O75746	NA
ENST00000451391	O75874	NA
ENST00000344546	O75947	NA
ENST00000458306	O75955	NA
ENST00000434381	O76041	NA
ENST00000448662	O94875	NA
ENST00000626935	O95299	NA
ENST00000595782	O95336	NA
ENST00000450186	O95817	NA
ENST00000535724	O95831	NA
ENST00000434279	O95865	NA
ENST00000625635	P00338	NA
ENST00000277865	P00367	NA
ENST00000361740	P00387	NA
ENST00000546342	P00390	NA
ENST00000361739	P00403	NA
ENST00000389995	P00441	NA
ENST00000434819	P00505	NA
ENST00000373316	P00558	NA
ENST00000223836	P00568	NA
ENST00000442468	P00734	NA
ENST00000404455	P01023	NA
ENST00000600744	P01024	NA
ENST00000401702	P02144	NA
ENST00000616970	P02511	NA
ENST00000347559	P02545	NA
ENST00000425718	P02649	NA
ENST00000359671	P02751	NA
ENST00000441319	P02768	NA
ENST00000226359	P02771	NA
ENST00000431944	P02788	NA
ENST00000542029	P04004	NA
ENST00000428024	P04062	NA
ENST00000627059	P04075	NA
ENST00000376911	P04083	NA
ENST00000252244	P04264	NA
ENST00000619601	P04406	NA
ENST00000628018	P04632	NA
ENST00000429938	P04792	NA
ENST00000497289	P04843	NA
ENST00000537345	P05023	NA
ENST00000494797	P05026	NA
ENST00000261733	P05091	NA
ENST00000317881	P05141	NA
ENST00000530398	P05387	NA
ENST00000482018	P05413	NA
ENST00000409333	P05455	NA
ENST00000372563	P05543	NA
ENST00000423113	P05556	NA
ENST00000388837	P05783	NA
ENST00000619952	P05787	NA
ENST00000373818	P06396	NA
ENST00000262030	P06576	NA
ENST00000462776	P06703	NA
ENST00000221476	P06732	NA
ENST00000489867	P06733	NA
ENST00000586425	P06744	NA
ENST00000523622	P06748	NA
ENST00000430709	P06756	NA
ENST00000539782	P07195	NA
ENST00000574914	P07237	NA
ENST00000637381	P07339	NA
ENST00000557986	P07355	NA
ENST00000400530	P07437	NA
ENST00000394934	P07602	NA
ENST00000572383	P07737	NA
ENST00000609181	P07814	NA
ENST00000532392	P07858	NA
ENST00000558600	P07900	NA
ENST00000449098	P07910	NA
ENST00000393559	P07942	NA
ENST00000607559	P07951	NA
ENST00000366560	P07954	NA
ENST00000260356	P07996	NA
ENST00000523164	P08133	NA
ENST00000629846	P08237	NA
ENST00000620073	P08238	NA
ENST00000379806	P08559	NA
ENST00000431168	P08590	NA
ENST00000224237	P08670	NA
ENST00000455635	P08727	NA
ENST00000515017	P08758	NA
ENST00000444512	P08865	NA
ENST00000229277	P09104	NA
ENST00000495996	P09211	NA
ENST00000215909	P09382	NA
ENST00000326004	P09429	NA
ENST00000288398	P09493	NA
ENST00000639772	P09622	NA
ENST00000550482	P09651	NA
ENST00000523016	P09669	NA
ENST00000413268	P09960	NA
ENST00000578590	P09972	NA
ENST00000302262	P10253	NA
ENST00000531306	P10515	NA
ENST00000374517	P10599	NA
ENST00000258424	P10606	NA
ENST00000471867	P10768	NA
ENST00000345042	P10809	NA
ENST00000522238	P10909	NA
ENST00000548438	P10916	NA
ENST00000324460	P11021	NA
ENST00000484114	P11047	NA
ENST00000530391	P11142	NA
ENST00000474765	P11177	NA
ENST00000428458	P11216	NA
ENST00000541113	P11310	NA
ENST00000626055	P11766	NA
ENST00000518293	P11940	NA
ENST00000612273	P12109	NA
ENST00000557530	P12277	NA
ENST00000508214	P12429	NA
ENST00000553659	P12814	NA
ENST00000354968	P12829	NA
ENST00000355349	P12883	NA
ENST00000428575	P12956	NA
ENST00000392132	P13010	NA
ENST00000564903	P13073	NA
ENST00000371335	P13473	NA
ENST00000618184	P13489	NA
ENST00000405093	P13533	NA
ENST00000615285	P13591	NA
ENST00000309311	P13639	NA
ENST00000269576	P13645	NA
ENST00000546577	P13647	NA
ENST00000413966	P13667	NA
ENST00000263556	P13674	NA
ENST00000616577	P13693	NA
ENST00000559386	P13804	NA
ENST00000419216	P13861	NA
ENST00000518175	P13929	NA
ENST00000215754	P14174	NA
ENST00000589838	P14314	NA
ENST00000264187	P14543	NA
ENST00000568883	P14618	NA
ENST00000640977	P14625	NA
ENST00000590618	P14854	NA
ENST00000635025	P14866	NA
ENST00000449218	P14868	NA
ENST00000465293	P14923	NA
ENST00000285930	P15121	NA
ENST00000392177	P15311	NA
ENST00000418664	P15924	NA
ENST00000331442	P16401	NA
ENST00000552636	P16615	NA
ENST00000399728	P16949	NA
ENST00000370508	P17174	NA
ENST00000437669	P17540	NA
ENST00000630471	P17844	NA
ENST00000554715	P17931	NA
ENST00000536394	P17987	NA
ENST00000372755	P18206	NA
ENST00000578528	P18621	NA
ENST00000334828	P18669	NA
ENST00000622580	P19237	NA
ENST00000436894	P19338	NA
ENST00000360289	P19367	NA
ENST00000379587	P19823	NA
ENST00000564811	P20674	NA
ENST00000395354	P20700	NA
ENST00000619580	P20962	NA
ENST00000610817	P21333	NA
ENST00000425992	P21796	NA
ENST00000463045	P21912	NA
ENST00000453095	P21980	NA
ENST00000377269	P22314	NA
ENST00000618183	P22626	NA
ENST00000640255	P22695	NA
ENST00000357214	P23246	NA
ENST00000300026	P23284	NA
ENST00000595625	P23327	NA
ENST00000538132	P23526	NA
ENST00000308162	P23528	NA
ENST00000552490	P23588	NA
ENST00000637452	P24534	NA
ENST00000483994	P24539	NA
ENST00000528370	P24752	NA
ENST00000230050	P25398	NA
ENST00000282050	P25705	NA
ENST00000532256	P25786	NA
ENST00000553677	P25788	NA
ENST00000360270	P26038	NA
ENST00000472354	P26373	NA
ENST00000506267	P26583	NA
ENST00000329251	P26641	NA
ENST00000357525	P26678	NA
ENST00000446619	P27348	NA
ENST00000438886	P27695	NA
ENST00000586760	P27797	NA
ENST00000468075	P27816	NA
ENST00000638713	P27824	NA
ENST00000425762	P28074	NA
ENST00000637907	P28331	NA
ENST00000639447	P28799	NA
ENST00000618908	P28838	NA
ENST00000518202	P29218	NA
ENST00000296289	P29401	NA
ENST00000618139	P29692	NA
ENST00000538839	P30038	NA
ENST00000546477	P30040	NA
ENST00000340385	P30041	NA
ENST00000449622	P30042	NA
ENST00000347941	P30044	NA
ENST00000298510	P30048	NA
ENST00000536368	P30050	NA
ENST00000368547	P30084	NA
ENST00000261313	P30086	NA
ENST00000300289	P30101	NA
ENST00000628959	P30153	NA
ENST00000617470	P31040	NA
ENST00000630693	P31150	NA
ENST00000639737	P31323	NA
ENST00000203407	P31930	NA
ENST00000426233	P31939	NA
