UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
E9PAV3	7081.029	4940.229	13302.848	9248.277	6651.3735	8747.965	13929.995	14648.044	10043.146	29495.11	19093.775	29504.533
E9PAV3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00151	41214.79	21236.816	52626.39	72681.055	47982.812	78716.56	52860.97	54810.484	73879.48	50786.42	51265.906	54246.406
O00151 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00159	304.72153	78.99573	935.5265	2312.0144	2231.6133	3672.5894	NA	NA	NA	12578.581	6680.9517	11796.451
O00159 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00217	12835.57	3825.6997	17261.072	5010.7393	4949.7656	10838.758	28490.123	30031.562	25823.742	38578.117	26026.71	34472.73
O00217 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00231	13268.435	7220.2935	17259.656	11621.229	9941.7	17666.43	5231.6953	7753.21	8598.923	5666.288	4352.1523	6520.6895
O00231 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00232	3238.8389	901.6937	5363.842	1487.3336	1226.4004	1682.9055	4677.643	7498.7026	5979.9604	8566.9375	2637.783	9185.451
O00232 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00299	16671.533	11357.101	33980.13	25166.71	21882.84	31044.73	62392.117	77289.766	70785.28	26206.742	20406.93	21420.566
O00299 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00303	6208.7744	4301.507	11958.28	10046.089	11917.742	17126.879	NA	NA	NA	5555.9707	5565.4346	5498.709
O00303 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00425	8396.585	2335.3938	8908.596	9196.509	6579.6416	9318.674	NA	NA	NA	6515.911	5540.126	5426.709
O00425 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00429	5564.8037	3270.7634	11389.875	9504.713	7963.3975	11067.176	7690.5615	8916.01	3813.3027	7664.3013	4923.047	6185.004
O00429 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O00571	6131.538	3426.2678	9725.082	12516.636	9699.133	14540.918	9291.569	9095.255	8237.575	10686.869	7303.8877	8728.617
O00571 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14561	7029.289	3393.4736	15549.914	13631.99	12197.045	15229.909	17870.305	19961.203	5254.3877	NA	NA	NA
O14561 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14639	15383.496	7555.42	20761.51	11346.106	7220.7812	9719.631	15606.797	17698.584	19389.332	15102.773	12331.832	13674.797
O14639 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14737	396.6724	750.9538	2208.0977	2888.7935	2573.6875	3462.185	NA	NA	NA	2477.6763	1481.7405	1830.6721
O14737 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14773	19778.348	5699.3506	25345.652	15949.192	12956.762	20634.234	NA	NA	NA	14081.525	9037.441	16251.172
O14773 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14818	24919.969	7789.5547	22676.385	46316.4	32412.316	50809.766	26426.926	25168.504	37265.984	27679.902	18428.62	25036.91
O14818 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14974	3947.3264	2753.766	8817.73	10286.26	6805.0444	12078.004	8173.206	8693.844	8902.829	7742.8096	7874.4624	8017.311
O14974 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O14979	4343.4233	2564.2112	17746.303	15404.834	20476.586	31774.672	NA	NA	NA	3284.3616	2985.335	1006.83545
O14979 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O15144	4890.3066	3551.1294	11701.518	NA	NA	NA	7772.0264	8950.672	5929.504	6289.05	2844.1147	4196.2646
O15144 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O15145	7307.1987	3499.0432	9540.144	14028.658	13575.082	19617.078	4838.247	5639.0547	4499.7485	9890.566	7579.583	10949.915
O15145 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O15230	7481.5728	3986.1382	14503.8545	8076.363	7421.0107	11525.117	5041.256	6159.9883	8849.289	10762.1455	8762.286	9026.78
O15230 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43143	3437.957	1485.1705	4424.3887	3940.0984	2599.7715	6124.6133	3724.894	4190.701	2128.7502	NA	NA	NA
O43143 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43175	7104.2236	2794.482	10494.524	6594.4688	4994.2314	6208.0107	3338.331	3428.7637	2413.3447	1002.09393	1504.5413	1037.6494
O43175 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43237	2192.2354	1005.03174	3433.0747	4098.6616	3530.8225	4087.1682	NA	NA	NA	4194.431	2007.8813	3510.398
O43237 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43242	1618.4717	745.6915	2826.5132	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43242 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43294	1031.9537	537.5405	4630.1963	3842.1663	4891.3906	7947.8213	NA	NA	NA	2986.7905	2140.7922	3056.911
O43294 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43390	21190.586	3170.4243	15304.693	6705.9966	5199.222	10224.543	3545.1929	4088.0342	4351.4873	NA	NA	NA
O43390 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43399	6112.9375	5198.842	8801.99	13265.35	11245.234	15018.345	9322.463	11069.475	11887.191	13418.645	9936.953	11827.939
O43399 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43615	994.7566	376.3693	1454.2399	2778.3682	1669.5645	3127.5352	NA	NA	NA	5379.593	3257.6865	5504.8154
O43615 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43678	5237.3574	2547.8582	6031.786	17926.012	14669.404	16051.125	9271.727	10863.191	11087.818	9982.742	12045.303	9551.299
O43678 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43681	5011.225	2943.834	7617.953	8920.861	9873.344	12415.666	NA	NA	NA	NA	NA	NA
O43681 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43684	1701.9988	625.50525	2905.3994	4302.038	3839.6704	5353.527	NA	NA	NA	3609.7566	3056.0042	2648.3455
O43684 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43707	15337.605	5303.0596	23070.016	5360.21	5023.631	6530.4907	6114.304	8961.521	7695.705	454.7476	250.24509	267.03622
O43707 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43813	8577.441	3185.3086	10523.793	NA	NA	NA	NA	NA	NA	2241.8386	1688.7227	2416.3435
O43813 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43837	8644.928	5296.3584	15380.544	12274.982	10785.988	19283.844	8725.646	9808.182	8228.256	19511.906	17498.164	19654.295
